start city,stop city,distance
Aberdeen,Aberdeen,0.0
Aberdeen,Adelaide,16157.948284870952
Aberdeen,Algiers,2419.5330797911347
Aberdeen,Amsterdam,788.4532248508374
Aberdeen,Ankara,3244.365432101146
Aberdeen,Asuncin,10525.46653760351
Aberdeen,Athens,2959.814656457089
Aberdeen,Auckland,17635.305059075094
Aberdeen,Bangkok,9506.561386088542
Aberdeen,Barcelona,1899.1260498589897
Aberdeen,Beijing,7801.002447580207
Aberdeen,Belm,7703.472185097596
Aberdeen,Belfast,425.7702561822461
Aberdeen,Belgrade,2178.0461368171445
Aberdeen,Berlin,1197.3304625445303
Aberdeen,Birmingham,634.2671915995339
Aberdeen,Bogot,8504.541151121733
Aberdeen,Bombay,7369.878108062249
Aberdeen,Bordeaux,1501.0900292533706
Aberdeen,Bremen,863.8389032669274
Aberdeen,Brisbane,16161.641378579083
Aberdeen,Bristol,737.1876157941188
Aberdeen,Brussels,941.357048010204
Aberdeen,Bucharest,2532.4758461553424
Aberdeen,Budapest,1903.0971740355674
Aberdeen,Buenos Aires,11478.939247759872
Aberdeen,Cairo,4032.7648370485367
Aberdeen,Calcutta,7987.1143341405395
Aberdeen,Canton,9200.318753363636
Aberdeen,Cape Town,10361.715823655763
Aberdeen,Caracas,7540.817506508764
Aberdeen,Cayenne,7304.978082082931
Aberdeen,Chihuahua,8118.425679931595
Aberdeen,Chongqing,8306.971339947646
Aberdeen,Copenhagen,970.1103367145272
Aberdeen,Crdoba,11431.186898452452
Aberdeen,Dakar,4986.008869439769
Aberdeen,Darwin,13623.413706785539
Aberdeen,Djibouti,6475.762846763555
Aberdeen,Dublin,561.1918999343544
Aberdeen,Durban,10212.453330488363
Aberdeen,Edinburgh,261.6745968235386
Aberdeen,Frankfurt,1083.645590168204
Aberdeen,Georgetown,7414.899925001981
Aberdeen,Glasgow,277.6386082852631
Aberdeen,Guatemala City,8508.705202772639
Aberdeen,Guayaquil,9426.834238581672
Aberdeen,Hamburg,964.8296598595111
Aberdeen,Hammerfest,1855.1785657417543
Aberdeen,Havana,7164.69368604134
Aberdeen,Helsinki,1604.5318691285988
Aberdeen,Hobart,17328.08879030653
Aberdeen,Hong Kong,9393.870697180882
Aberdeen,Iquique,10665.49286191177
Aberdeen,Irkutsk,6108.81662721313
Aberdeen,Jakarta,11727.996803090991
Aberdeen,Johannesburg,9789.246247979336
Aberdeen,Kingston,7394.284296968489
Aberdeen,Kinshasa,7092.253257211886
Aberdeen,Kuala Lumpur,10489.132398411724
Aberdeen,La Paz,10165.779438077134
Aberdeen,Leeds,505.00571643332876
Aberdeen,Lima,10236.79650887463
Aberdeen,Lisbon,2223.120089506274
Aberdeen,Liverpool,517.2567921956404
Aberdeen,London,747.9192587155775
Aberdeen,Lyons,1473.7862434509734
Aberdeen,Madrid,1962.4454582481585
Aberdeen,Manchester,513.8147436734845
Aberdeen,Manila,10482.515220403297
Aberdeen,Marseilles,1729.4738613883742
Aberdeen,Mazatln,8598.468207480359
Aberdeen,Mecca,5301.416487139612
Aberdeen,Melbourne,16748.043930675434
Aberdeen,Mexico City,8596.86814926461
Aberdeen,Milan,1625.9551524231742
Aberdeen,Montevideo,11410.846973145255
Aberdeen,Moscow,2438.304787473036
Aberdeen,Munich,1380.0947097765636
Aberdeen,Nagasaki,9036.732418183514
Aberdeen,Nagoya,8945.38680083688
Aberdeen,Nairobi,7445.291148402369
Aberdeen,Nanjing (Nanking),8607.260950283371
Aberdeen,Naples,2283.6924721975947
Aberdeen,New Delhi,6795.945007866751
Aberdeen,Newcastle-on-Tyne,381.17483974345913
Aberdeen,Odessa,2584.7529569201924
Aberdeen,Osaka,9048.258727368944
Aberdeen,Oslo,789.5821838497385
Aberdeen,Panama City,8401.934910454762
Aberdeen,Paramaribo,7358.032675505028
Aberdeen,Paris,1100.7596593113171
Aberdeen,Perth,14595.824087434636
Aberdeen,Plymouth,857.2272810549699
Aberdeen,Port Moresby,14060.55901334453
Aberdeen,Prague,1380.668521396017
Aberdeen,Rangoon,8975.185385577335
Aberdeen,Reykjavk,1228.5506580365484
Aberdeen,Rio de Janeiro,9694.784584030504
Aberdeen,Rome,2110.777383357673
Aberdeen,Salvador,8474.40822529654
Aberdeen,Santiago,11920.407130934327
Aberdeen,St. Petersburg,1898.8120913893217
Aberdeen,So Paulo,9887.572693941205
Aberdeen,Shanghai,8844.690980961244
Aberdeen,Singapore,10864.651978289729
Aberdeen,Sofia,2507.0723892280744
Aberdeen,Stockholm,1233.6278710162658
Aberdeen,Sydney,16726.84042047048
Aberdeen,Tananarive,9669.075161709832
Aberdeen,Teheran,4667.069741188871
